trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit,
1513782,ETH-BTC,SELL,2017-09-16T05:16:06.982Z,0.23,ETH,0.06955,0,0.0159965,BTC,0.726659147
1513932,ETH-BTC,BUY,2017-09-16T05:34:41.500Z,8.4088429,ETH,0.06992,0,-0.587946296,BTC,0.138712852
1515109,ETH-BTC,BUY,2017-09-16T09:01:38.734Z,10.54,ETH,0.06902,0,-0.7274708,BTC,-0.588757948
1515393,ETH-BTC,SELL,2017-09-16T09:47:53.845Z,1.08367854,ETH,0.06919,0,0.074979718,BTC,-0.51377823
1515475,ETH-BTC,BUY,2017-09-16T09:51:34.734Z,0.7881652,ETH,0.06913,0,-0.05448586,BTC,-0.56826409
1515639,ETH-BTC,SELL,2017-09-16T10:02:42.387Z,0.385188,ETH,0.06918,0,0.026647306,BTC,-0.541616785
1515656,ETH-BTC,SELL,2017-09-16T10:02:48.426Z,1.37211525,ETH,0.06928,0,0.095060145,BTC,-0.44655664
1515787,ETH-BTC,SELL,2017-09-16T10:08:58.100Z,2.032,ETH,0.0692,0,0.1406144,BTC,-0.30594224
1515805,ETH-BTC,BUY,2017-09-16T10:10:47.586Z,4.07999973,ETH,0.06891,0,-0.281152781,BTC,-0.587095021
1515806,ETH-BTC,BUY,2017-09-16T10:10:48.153Z,0.00000027,ETH,0.06891,0,-1.86057E-08,BTC,-0.58709504
1515820,ETH-BTC,BUY,2017-09-16T10:10:49.739Z,2.69486333,ETH,0.06889,0,-0.185649135,BTC,-0.772744175
1519487,ETH-BTC,SELL,2017-09-16T22:20:44.791Z,0.30654485,ETH,0.06852,0,0.021004453,BTC,-0.751739722
1519980,ETH-BTC,SELL,2017-09-17T04:34:27.296Z,21.23,ETH,0.06905,0,1.4659315,BTC,0.714191778
1520491,ETH-BTC,BUY,2017-09-17T08:50:38.193Z,7.644158,ETH,0.06886,0,-0.52637672,BTC,0.187815058
1520537,ETH-BTC,SELL,2017-09-17T09:03:15.293Z,7.63,ETH,0.06898,0,0.5263174,BTC,0.714132458
1521190,ETH-BTC,BUY,2017-09-17T14:23:38.350Z,8.34644019,ETH,0.0691,0,-0.576739017,BTC,0.137393441
1521218,ETH-BTC,SELL,2017-09-17T14:36:12.209Z,0.60436013,ETH,0.06925,0,0.041851939,BTC,0.17924538
1521696,ETH-BTC,SELL,2017-09-17T17:39:07.697Z,0.82586648,ETH,0.06963,0,0.057505083,BTC,0.236750463
1521697,ETH-BTC,SELL,2017-09-17T17:39:09.204Z,2.353,ETH,0.06963,0,0.16383939,BTC,0.400589853
1523367,ETH-BTC,SELL,2017-09-18T02:03:34.564Z,4.68,ETH,0.07205,0,0.337194,BTC,0.737783853
1525578,ETH-BTC,BUY,2017-09-18T06:01:28.035Z,0.21963,ETH,0.07511,0,-0.016496409,BTC,0.721287444
1525593,ETH-BTC,BUY,2017-09-18T06:02:19.099Z,13.055918,ETH,0.07472,0,-0.975538193,BTC,-0.254250749
1526272,ETH-BTC,SELL,2017-09-18T08:06:31.819Z,10.13,ETH,0.07327,0,0.7422251,BTC,0.487974351
1527421,ETH-BTC,BUY,2017-09-18T14:40:11.881Z,0.08309199,ETH,0.07281,0,-0.006049928,BTC,0.481924423
1527423,ETH-BTC,BUY,2017-09-18T14:40:23.839Z,0.06199,ETH,0.07282,0,-0.004514112,BTC,0.477410311
1527599,ETH-BTC,BUY,2017-09-18T15:03:35.409Z,12.57,ETH,0.07223,0,-0.9079311,BTC,-0.430520789
1529649,ETH-BTC,SELL,2017-09-19T04:47:18.796Z,0.18949758,ETH,0.07257,0,0.013751839,BTC,-0.416768949
1531823,ETH-BTC,BUY,2017-09-19T19:21:39.688Z,0.19,ETH,0.07239,0,-0.0137541,BTC,-0.430523049
1532889,ETH-BTC,SELL,2017-09-20T06:50:37.377Z,1.714594,ETH,0.07263,0,0.124530962,BTC,-0.305992087
1534816,ETH-BTC,BUY,2017-09-21T08:27:11.319Z,0.92926215,ETH,0.07346,0,-0.068263598,BTC,-0.374255685
1535763,ETH-BTC,SELL,2017-09-21T16:22:13.475Z,0.548491,ETH,0.07238,0,0.039699779,BTC,-0.334555906
1536542,ETH-BTC,BUY,2017-09-21T19:06:36.970Z,1.34,ETH,0.07161,0,-0.0959574,BTC,-0.430513306
1536909,ETH-BTC,SELL,2017-09-21T19:52:13.772Z,1.42549478,ETH,0.07093,0,0.101110345,BTC,-0.329402961
1537104,ETH-BTC,SELL,2017-09-21T20:35:20.769Z,1.38111376,ETH,0.07125,0,0.098404355,BTC,-0.230998606
1537159,ETH-BTC,BUY,2017-09-21T20:40:52.970Z,2.8,ETH,0.07134,0,-0.199752,BTC,-0.430750606
1537356,ETH-BTC,SELL,2017-09-21T21:17:13.653Z,1.5446155,ETH,0.07211,0,0.111382224,BTC,-0.319368382
1538062,ETH-BTC,SELL,2017-09-22T04:26:25.728Z,11.21,ETH,0.07228,0,0.8102588,BTC,0.490890418
1538386,ETH-BTC,BUY,2017-09-22T07:45:22.296Z,12.84,ETH,0.07179,0,-0.9217836,BTC,-0.430893182
1541450,ETH-BTC,SELL,2017-09-23T10:33:13.429Z,13.92999999,ETH,0.07384,0,1.028591199,BTC,0.597698017
1541452,ETH-BTC,SELL,2017-09-23T10:33:14.547Z,0.00000001,ETH,0.07384,0,7.384E-10,BTC,0.597698018
1541641,ETH-BTC,SELL,2017-09-23T10:54:23.304Z,2.01,ETH,0.0743,0,0.149343,BTC,0.747041018
1542002,ETH-BTC,BUY,2017-09-23T11:47:37.092Z,0.57,ETH,0.07421,0,-0.0422997,BTC,0.704741318
1542020,ETH-BTC,BUY,2017-09-23T11:48:42.509Z,0.57,ETH,0.07418,0,-0.0422826,BTC,0.662458718
1542021,ETH-BTC,BUY,2017-09-23T11:48:42.509Z,0.57,ETH,0.07418,0,-0.0422826,BTC,0.620176118
1542110,ETH-BTC,BUY,2017-09-23T11:49:27.784Z,0.57,ETH,0.07416,0,-0.0422712,BTC,0.577904918
1542117,ETH-BTC,BUY,2017-09-23T11:49:35.784Z,0.57,ETH,0.07419,0,-0.0422883,BTC,0.535616618
1542123,ETH-BTC,BUY,2017-09-23T11:49:42.741Z,0.57,ETH,0.07419,0,-0.0422883,BTC,0.493328318
1542125,ETH-BTC,BUY,2017-09-23T11:49:42.741Z,0.57,ETH,0.07416,0,-0.0422712,BTC,0.451057118
1542129,ETH-BTC,BUY,2017-09-23T11:49:47.692Z,0.57,ETH,0.07417,0,-0.0422769,BTC,0.408780218
1542130,ETH-BTC,BUY,2017-09-23T11:49:47.692Z,0.57,ETH,0.07417,0,-0.0422769,BTC,0.366503318
1542135,ETH-BTC,BUY,2017-09-23T11:49:57.284Z,0.57,ETH,0.07417,0,-0.0422769,BTC,0.324226418
1542136,ETH-BTC,BUY,2017-09-23T11:49:57.284Z,0.57,ETH,0.07417,0,-0.0422769,BTC,0.281949518
1542165,ETH-BTC,BUY,2017-09-23T11:50:07.354Z,0.1392265,ETH,0.0741,0,-0.010316684,BTC,0.271632834
1542480,ETH-BTC,BUY,2017-09-23T14:02:00.709Z,0.57,ETH,0.07433,0,-0.0423681,BTC,0.229264734
1542666,ETH-BTC,BUY,2017-09-23T15:12:00.645Z,0.57,ETH,0.07457,0,-0.0425049,BTC,0.186759834
1542775,ETH-BTC,SELL,2017-09-23T15:38:38.225Z,2.26210744,ETH,0.07489,0,0.169409226,BTC,0.35616906
1542830,ETH-BTC,SELL,2017-09-23T16:04:17.743Z,5.29,ETH,0.07488,0,0.3961152,BTC,0.75228426
1542927,ETH-BTC,BUY,2017-09-23T16:36:40.047Z,0.57,ETH,0.07476,0,-0.0426132,BTC,0.70967106
1544126,ETH-BTC,SELL,2017-09-24T01:33:30.574Z,0.57,ETH,0.07639,0,0.0435423,BTC,0.75321336
1544808,ETH-BTC,BUY,2017-09-24T02:40:18.714Z,0.034548,ETH,0.07742,0,-0.002674706,BTC,0.750538654
1544836,ETH-BTC,SELL,2017-09-24T02:44:17.680Z,0.00438374,ETH,0.0777,0,0.000340617,BTC,0.750879271
1544896,ETH-BTC,BUY,2017-09-24T03:07:26.246Z,0.57,ETH,0.07732,0,-0.0440724,BTC,0.706806871
1544946,ETH-BTC,BUY,2017-09-24T03:09:27.025Z,0.57,ETH,0.07703,0,-0.0439071,BTC,0.662899771
1545191,ETH-BTC,BUY,2017-09-24T04:22:10.349Z,0.57,ETH,0.07758,0,-0.0442206,BTC,0.618679171
1545223,ETH-BTC,BUY,2017-09-24T04:24:42.616Z,0.57,ETH,0.07757,0,-0.0442149,BTC,0.574464271
1545601,ETH-BTC,BUY,2017-09-24T06:02:14.697Z,0.57,ETH,0.07659,0,-0.0436563,BTC,0.530807971
1545636,ETH-BTC,BUY,2017-09-24T06:16:18.094Z,0.34350923,ETH,0.0766,0,-0.026312807,BTC,0.504495164
1545718,ETH-BTC,BUY,2017-09-24T07:04:40.549Z,0.57,ETH,0.07658,0,-0.0436506,BTC,0.460844564
1545719,ETH-BTC,BUY,2017-09-24T07:04:40.549Z,0.57,ETH,0.07657,0,-0.0436449,BTC,0.417199664
1546065,ETH-BTC,SELL,2017-09-24T09:21:43.970Z,1.54224691,ETH,0.07608,0,0.117334145,BTC,0.534533809
1548308,ETH-BTC,BUY,2017-09-25T02:57:25.277Z,0.57,ETH,0.07683,0,-0.0437931,BTC,0.490740709
1548309,ETH-BTC,BUY,2017-09-25T02:57:25.277Z,0.5699996,ETH,0.07683,0,-0.043793069,BTC,0.446947639
1548843,ETH-BTC,BUY,2017-09-25T11:17:23.627Z,0.57,ETH,0.07657,0,-0.0436449,BTC,0.403302739
1548971,ETH-BTC,SELL,2017-09-25T12:15:46.329Z,4.53,ETH,0.07682,0,0.3479946,BTC,0.751297339
